names,prices
"Vitron HTC3268S,32 Inch Smart Android TV Inbuilt WIFI,Netflix,Youtube+FREE GIFTS","KSh 16,699"
"Vitron 32""Inches Smart Android TV+ Free Extension+Aerial+32GB Flash","KSh 16,799"
"Vitron HTC3268S,32"" Inch Smart Android TV,Netflix,Youtube,Playstore+ FREE BRACKET","KSh 15,364"
"Vitron HTC3268S,32 Inch Smart Android Tv,Netflix,Youtube,Facebook","KSh 15,100"
"Wyinix WY40D19D,40""Inch Smart Android 9.0 TV WIFI Netflix, Youtube,Playstore+FREE GIFTS","KSh 21,698"
"CTC 32A06S,32 Inch Smart Android TV Inbuilt Decoder/WIFI Netflix,Youtube+ 4 GIFTS","KSh 16,299"
"Vitron HTC4068S,40"" Inch Smart  TV  Inbuilt WIFI Netflix, Youtube + FREE GIFTS","KSh 21,999"
"Vitron HTC3268S,32 Inch Smart Android TV HDMI,USB,VGA,Netflix,Youtube,Playstore+Aerial","KSh 15,799"
"Vitron 4388FS,43"" Inch Smart Android TV 1GBRAM,8GBROM+ 6 FREE GIFTS","KSh 27,899"
"Vitron 4388FS,43"" Inch Smart Android TV 1GBRAM,8GBROM+ 3 FREE GIFTS","KSh 26,898"
"Vision Plus 32""inch Frameless HD Smart Android TV Bluetooth+FREE GIFT","KSh 16,299"
"Vitron HTC4068S,40"" Inch Smart Android TV WIFI Netflix,Youtube,Playstore","KSh 21,479"
"Vitron HTC3268S,32 Inch Smart Android TV,Netflix,Youtube,Playstore+FREE AERIAL+BRACKET","KSh 15,999"
"Vitron 43"" Inch Full HD Smart Android TV 1GBRAM+8GB ROM","KSh 24,769"
"Vision Plus VP8832SF,32 Inch Frameless Smart Android TV Bluetooth Inbuilt WIFI","KSh 16,278"
"Vitron 32""Inches Smart Android TV - Black + FREE 6 Gifts","KSh 18,499"
"Vitron 5068US,50"" Inch FRAMELESS 4K UHD Android TV 1.5GBRAM,8GBROM","KSh 38,450"
"Vitron HTC3268S,32"" Inch Smart Android TV,Netflix,Youtube,Playstore","KSh 15,198"
"Vitron 4388FS,43"" Inches FHD Smart Android TV,Youtube,Netflix 1GBRAM,8GBROM","KSh 25,697"
Vitron 24” HD Digital LED TV HTC2446D,"KSh 10,049"
"Glaze GZ-4330FS,43"" Inch Full HD Smart Android TV WIFI Netflix, Youtube Television","KSh 23,998"
"Hisense 43'' 43S4Smart Full HD Frameless LED TV, Youtube -Black","KSh 35,499"
"Sonar 32T88S 32"" Inch Smart Android TV Netflix Youtube Google Play","KSh 14,299"
"Vision 32"" Inches Bluetooth FRAMELESS SMART ANDROID TV,DolbyAudio,DVBT2/S2+FREE MOUNT","KSh 16,398"
Vitron 43 Inch Smart Android Television+FREE TVGuard+Bracket,"KSh 25,999"
"CTC CT32A06S,32 Inch Smart Android TV Inbuilt Decoder/WIFI Netflix,Youtube","KSh 14,996"
"Hisense A6 Series 32"" Inch Bezelless Smart TV With Inbuilt WIFI","KSh 22,499"
"Gld 40HD39L20,40"" Inch Smart Android TV Bluetooth TV,AppStore+FREE GIFTS","KSh 21,799"
"Sonar 32T88S 32"" Inch Smart Android TV Netflix Youtube Google Play+FREE GIFTS","KSh 15,599"
"Glaze GZ-4330FS,43"" Inch Full HD Smart Android TV WIFI +FREE GIFTS","KSh 25,999"
"Vitron 4388FS,43''SMART Android FHD TV,Netflix,Youtube App Store","KSh 25,395"
"LG 24""INCHES HD-Digital LED TV - HDMI,USB PORT-INBUILT DECODER+FREE AERIAL","KSh 13,800"
"Royal Frameless ,43 Inch SMART Android TV Full HD USB HDMI-Netfix,Youtube+ 4 GIFTS","KSh 26,999"
"Vitron 40"" Inch Smart Android TV WIFI Netflix,Youtube+FREE 6 GIFTS","KSh 22,990"
"Vitron HTC3268S,32 Inch Smart Android Tv,Netflix,Youtube,+Wallbracket","KSh 15,139"
"TCL 32S68A - 32''  Full HD Android TV,  Black","KSh 20,499"
"Vitron 43"" Inches FULLHD Smart Android TV YouTube Netflix + FREE GIFT","KSh 26,790"
